Parcela;Especie;DAP
14;Lithraea brasiliensis;21,20550742
14;Casearia decandra;5,856901906
14;Jacaranda puberula;22,13396124
14;Myrsine umbellata;12,25493062
14;Blepharocalyx salicifolius;7,51332711
14;Jacaranda puberula;6,875493542
14;Xylosma ciliatifolia;6,111549815
14;Zanthoxylum kleinii;14,36858019
14;Matayba elaeagnoides;30,40314346
14;Symplocos uniflora;7,130141451
15;Schinus terebinthifolius;9,835775483
15;Lithraea brasiliensis;9,103662745
15;Blepharocalyx salicifolius;15,21521256
15;Lithraea brasiliensis;22,65939403
15;Calyptranthes concinna;5,188451145
15;Podocarpus lambertii;9,612958563
15;Sapium glandulosum;24,50986124
15;Banara tomentosa;8,53070495
15;Zanthoxylum kleinii;8,269259557
15;Myrcia guianensis;7,487051813
15;Lithraea brasiliensis;7,639437268
15;Myrcia guianensis;20,6455802
15;Matayba elaeagnoides;14,92873366
15;Casearia decandra;7,352958371
15;Casearia decandra;5,252113122
15;Matayba elaeagnoides;16,4884521
15;Zanthoxylum kleinii;16,07619345
15;Matayba elaeagnoides;13,20986028
15;Sapium glandulosum;17,98450857
15;Erythroxylum deciduum;8,276057041
15;Myrsine umbellata;6,90732453
15;Symplocos uniflora;10,66338119
15;Banara tomentosa;6,047887837
15;Casearia decandra;15,83088546
15;Casearia decandra;6,079718826
15;Zanthoxylum kleinii;9,390141642
15;Eugenia pluriflora;12,60507149
15;Allophylus guaraniticus;5,156620156
15;Drimys brasiliensis;5,729577951
15;Cupania vernalis;5,952394872
15;Allophylus guaraniticus;5,411268065
15;Symplocos uniflora;14,06929697
15;Myrsine umbellata;8,05324012
15;Myrcia guianensis;12,51573262
15;Zanthoxylum kleinii;7,639437268
15;Podocarpus lambertii;25,14648101
15;Myrcia laruotteana;8,590888393
15;Oreopanax fulvus;8,498873961
15;Matayba elaeagnoides;10,09042339
15;Zanthoxylum kleinii;22,7312264
15;Roupala montana;13,17887501
15;Matayba elaeagnoides;14,64225476
15;Podocarpus lambertii;11,01605169
15;Sapium glandulosum;7,925916166
15;Araucaria angustifolia;17,18873385
15;Araucaria angustifolia;26,51521352
15;Allophylus guaraniticus;6,366197724
15;Allophylus guaraniticus;10,49911275
15;Gochnatia polymorpha;7,543944303
15;Xylosma ciliatifolia;10,08138215
15;Erythroxylum deciduum;10,94986008
15;Podocarpus lambertii;5,729577951
15;Gochnatia polymorpha;17,3478888
15;Xylosma ciliatifolia;12,47774754
16;Araucaria angustifolia;5,729577951
16;Zanthoxylum kleinii;11,52281788
16;Lithraea brasiliensis;5,411268065
16;Lithraea brasiliensis;16,4884521
16;Lithraea brasiliensis;9,326479665
16;Araucaria angustifolia;6,970986507
16;Xylosma ciliatifolia;5,379437077
16;Zanthoxylum kleinii;12,01863271
16;Araucaria angustifolia;9,867606472
16;Duranta vestita;5,313582693
16;Casearia decandra;7,689341761
16;Roupala montana;6,46169069
16;Casearia decandra;5,952394872
16;Gochnatia polymorpha;16,39295914
16;Podocarpus lambertii;22,05887511
16;Myrsine umbellata;5,53859202
16;Jacaranda puberula;6,143380803
16;Araucaria angustifolia;16,93408594
16;Duranta vestita;5,411268065
16;Araucaria angustifolia;24,82817112
16;Myrcia guianensis;5,570423008
16;Podocarpus lambertii;16,2338042
16;Araucaria angustifolia;8,53070495
16;Jacaranda puberula;13,05070533
16;Araucaria angustifolia;5,029296202
16;Dasyphyllum spinescens;26,35605858
16;Jacaranda puberula;10,88619811
16;Jacaranda puberula;17,60253671
16;Myrsine umbellata;7,002817496
16;Gochnatia polymorpha;15,08788861
16;Casearia decandra;7,60760628
16;Myrcia guianensis;5,53859202
16;Jacaranda puberula;7,512113314
16;Jacaranda puberula;8,75352187
16;Banara tomentosa;5,124789168
16;Myrsine umbellata;6,716338598
16;Araucaria angustifolia;6,68450761
16;Jacaranda puberula;7,957747155
16;Jacaranda puberula;5,260883436
16;Prunus myrtifolia;12,83878373
16;Matayba elaeagnoides;25,43295991
16;Xylosma tweediana;6,90732453
16;Araucaria angustifolia;6,843662553
16;Jacaranda puberula;7,957747155
16;Dasyphyllum tomentosum;14,13295895
16;Jacaranda puberula;8,085071109
16;Symplocos uniflora;18,44275504
